block	first_line	last_line	terminator	instructions	valu	vmem	lds	salu	waitcnt	longest_valu_chain	max_vmem_in_flight	max_lgkm_in_flight	vmcnt_arguments	lgkmcnt_arguments
1	2	9	s_cbranch_scc0	8	0	0	0	7	1	0	0	1	-	0
2	11	13	s_cbranch_scc0	3	0	0	0	3	0	0	0	0	-	-
3	15	78	s_branch	64	15	0	0	49	0	5	0	0	-	-
4	80	80	-	1	0	0	0	1	0	0	0	0	-	-
5	82	95	s_branch	14	8	0	0	6	0	3	0	0	-	-
6	97	411	-	315	266	24	0	12	13	14	8	1	5,6,5,0,5,6,5,6,3,2,1,0	0
7	413	414	-	2	1	0	0	1	0	1	0	0	-	-
8	416	418	s_cbranch_scc1	3	1	0	0	2	0	1	0	0	-	-
9	420	422	s_branch	3	1	0	0	2	0	1	0	0	-	-
10	423	423	-	1	0	0	0	1	0	0	0	0	-	-
11	426	588	-	163	134	12	0	8	9	11	8	1	5,6,5,6,3,2,1,0	0
12	590	591	-	2	1	0	0	1	0	1	0	0	-	-
13	593	594	s_cbranch_scc1	2	0	0	0	2	0	0	0	0	-	-
14	596	597	s_branch	2	0	0	0	2	0	0	0	0	-	-
15	599	681	-	83	65	6	0	7	5	10	6	1	3,2,1,0	0
16	683	684	-	2	1	0	0	1	0	1	0	0	-	-
17	686	687	s_cbranch_scc1	2	0	0	0	2	0	0	0	0	-	-
18	689	722	-	34	16	0	0	18	0	8	0	0	-	-
19	724	727	-	4	3	0	1	0	0	1	0	0	-	-
20	729	730	s_cbranch_execz	2	0	0	0	2	0	0	0	0	-	-
21	732	734	s_cbranch_scc0	3	0	0	0	3	0	0	0	0	-	-
22	736	743	s_branch	8	2	0	1	4	1	1	0	1	-	0
23	745	746	-	2	0	0	0	2	0	0	0	0	-	-
24	748	749	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
25	751	763	s_branch	13	2	0	0	9	2	2	0	1	-	0,0
26	765	766	-	2	1	0	0	1	0	1	0	0	-	-
27	768	769	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
28	771	782	s_branch	12	1	0	0	9	2	1	0	1	-	0,0
29	784	784	-	1	0	0	0	1	0	0	0	0	-	-
30	786	795	s_cbranch_scc0	10	0	1	0	8	1	0	0	1	-	0
31	797	803	s_branch	7	2	0	1	3	1	1	0	1	-	0
32	805	805	-	1	0	0	0	1	0	0	0	0	-	-
33	807	808	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
34	810	817	s_branch	8	2	0	0	4	2	2	0	1	-	0,0
