path	files	files_independently_covered	files_recovered_only	files_empty	files_duplicate_within_sweep	files_unretained	unretained_distinct_bytes	producer_role	producer_evidence	storage_role
.	1	0	1	0	0	0	0	unknown	-	raven2-appliance
campaigns/bundle-router-regression-20260901T2054Z	18	2	0	1	6	9	22097	unknown	-	raven2-appliance
campaigns/bundle-router-regression-20260901T2055Z	28	9	0	3	8	8	22821	unknown	-	raven2-appliance
campaigns/bundle-router-regression-20260901T2255Z	40	8	0	5	10	17	31298	unknown	-	raven2-appliance
campaigns/bundle-router-regression-20260901T2352Z	46	8	0	5	11	22	33420	unknown	-	raven2-appliance
campaigns/e1-lab-20260902	83	36	0	0	17	30	3349572	unknown	-	raven2-appliance
campaigns/evidence	102	0	0	2	56	44	6003566	unknown	-	raven2-appliance
campaigns/evidence-out	312	161	0	2	75	74	3334971	unknown	-	raven2-appliance
campaigns/fd8-repro	18	0	0	4	6	8	5070	unknown	-	raven2-appliance
campaigns/fixed64-scoreboard-20260901T1758Z	289	22	0	0	264	3	8686007	unknown	-	raven2-appliance
campaigns/fixed64-scoreboard-20260901T1810Z	616	24	0	2	572	18	13510092	unknown	-	raven2-appliance
campaigns/fixed64-scoreboard-20260901T1930Z	325	25	0	3	275	22	9065617	unknown	-	raven2-appliance
campaigns/fixed64-scoreboard-20260901T1937Z	328	25	0	3	279	21	9068019	raven2-appliance	graphics-latency.log,kernel-hazards.log,telemetry.log	raven2-appliance
campaigns/fixed64-scoreboard-20260901T2011Z	499	116	0	14	266	103	9378357	raven2-appliance	graphics-latency.log,kernel-hazards.log,telemetry.log	raven2-appliance
campaigns/gpu-decomp	14	0	0	5	0	9	370563	unknown	-	raven2-appliance
campaigns/image-admission-20260829T074819Z	5	0	0	0	1	4	1939	unknown	-	raven2-appliance
campaigns/image-admission-20260829T075006Z	6	0	0	0	1	5	2193	unknown	-	raven2-appliance
campaigns/image-admission-20260829T075703Z	18	2	0	0	3	13	65390	unknown	-	raven2-appliance
campaigns/image-admission-20260829T075751Z	52	5	0	1	21	25	99452	unknown	-	raven2-appliance
campaigns/image-admission-20260829T082749Z	52	10	0	1	19	22	104072	unknown	-	raven2-appliance
campaigns/image-admission-20260829T084021Z-4b	52	11	0	1	18	22	103141	unknown	-	raven2-appliance
campaigns/image-admission-20260829T090042Z-4b	5	0	0	0	1	4	2246	unknown	-	raven2-appliance
campaigns/image-admission-20260829T090114Z-4b	60	15	0	2	18	25	110640	unknown	-	raven2-appliance
campaigns/image-admission-20260829T091244Z-4b-explicit	60	15	0	2	17	26	105815	unknown	-	raven2-appliance
campaigns/image-admission-20260829T093107Z-4b-explicit2	60	15	0	2	16	27	109804	unknown	-	raven2-appliance
campaigns/image-admission-20260829T102824Z-4b-bounded	60	17	0	2	14	27	123441	unknown	-	raven2-appliance
campaigns/image-admission-20260829T103938Z-4b-final	60	19	0	2	14	25	111690	unknown	-	raven2-appliance
campaigns/image-admission-20260829T123050Z-review	64	21	0	2	16	25	132821	unknown	-	raven2-appliance
campaigns/image-admission-20260829T130608Z-review2	66	18	0	3	17	28	140807	unknown	-	raven2-appliance
campaigns/image-admission-20260829T135331Z-review3	65	20	0	2	17	26	162685	unknown	-	raven2-appliance
campaigns/logs	46	10	0	0	2	34	1278335	unknown	-	raven2-appliance
campaigns/power-envelope-campaign	470	248	0	28	11	183	3675522	raven2-appliance	clock-samples.tsv,graphics-latency.log,kernel-hazards.log,telemetry.log	raven2-appliance
campaigns/q4k-served-ab-08b-20260903T2004Z	584	293	0	49	0	242	739915	raven2-appliance	clock-sidecar.tsv,graphics-latency.log,kernel-hazards.log,telemetry.log	raven2-appliance
campaigns/q4k-served-ab-20260903T1953Z	584	293	0	49	11	231	723309	raven2-appliance	clock-sidecar.tsv,graphics-latency.log,kernel-hazards.log,telemetry.log	raven2-appliance
campaigns/q4k-served-ab-4b-20260903T2020Z	584	293	0	49	25	217	724176	raven2-appliance	clock-sidecar.tsv,graphics-latency.log,kernel-hazards.log,telemetry.log	raven2-appliance
campaigns/q4k-served-ab-4b-r2-20260903T2115Z	584	293	0	49	25	217	724439	raven2-appliance	clock-sidecar.tsv,graphics-latency.log,kernel-hazards.log,telemetry.log	raven2-appliance
campaigns/q4k-witness-08b-20260903T2004Z	158	101	0	0	4	53	1893162	unknown	-	raven2-appliance
campaigns/q4k-witness-20260903T1941Z	158	101	0	0	4	53	1849985	unknown	-	raven2-appliance
campaigns/q4k-witness-4b-20260903T2020Z	158	101	0	0	4	53	1981903	unknown	-	raven2-appliance
