block	first_line	last_line	terminator	instructions	valu	vmem	lds	salu	waitcnt	longest_valu_chain	max_vmem_in_flight	max_lgkm_in_flight	vmcnt_arguments	lgkmcnt_arguments
1	2	8	s_cbranch_scc0	7	0	0	0	6	1	0	0	1	-	0
2	10	12	s_cbranch_scc0	3	0	0	0	3	0	0	0	0	-	-
3	14	77	s_branch	64	15	0	0	49	0	5	0	0	-	-
4	79	79	-	1	0	0	0	1	0	0	0	0	-	-
5	81	95	s_branch	15	7	0	0	8	0	3	0	0	-	-
6	97	590	-	494	455	16	0	7	16	35	6	1	5,5,4,3,5,4,3,2,5,4,3,3,2,1,0	0
7	592	593	-	2	1	0	0	1	0	1	0	0	-	-
8	595	596	s_cbranch_scc1	2	0	0	0	2	0	0	0	0	-	-
9	598	600	s_cbranch_execz	3	1	0	0	2	0	1	0	0	-	-
10	602	850	-	249	226	8	0	6	9	31	6	1	5,5,4,3,3,2,1,0	0
11	852	854	s_cbranch_execz	3	1	0	0	2	0	1	0	0	-	-
12	856	981	-	126	111	4	0	6	5	29	4	1	3,2,1,0	0
13	983	999	-	17	8	0	0	9	0	8	0	0	-	-
14	1001	1002	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
15	1004	1015	s_branch	12	2	0	0	8	2	2	0	1	-	0,0
16	1017	1017	-	1	1	0	0	0	0	1	0	0	-	-
17	1019	1020	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
18	1022	1031	-	10	1	0	0	7	2	1	0	1	-	0,0
19	1033	1040	s_branch	8	0	1	0	6	1	0	0	1	-	0
20	1042	1043	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
21	1045	1048	s_cbranch_scc0	4	0	0	0	4	0	0	0	0	-	-
22	1050	1113	s_branch	64	15	0	0	49	0	5	0	0	-	-
23	1115	1115	-	1	0	0	0	1	0	0	0	0	-	-
24	1117	1133	-	17	7	0	0	10	0	3	0	0	-	-
25	1136	1138	-	3	1	0	0	2	0	1	0	0	-	-
26	1140	1141	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
27	1143	1161	s_cbranch_scc0	19	11	0	0	7	1	6	0	0	-	0
28	1163	1274	-	112	100	4	0	3	5	29	4	1	3,2,1,0	0
29	1276	1287	s_cbranch_scc0	12	11	0	0	1	0	7	0	0	-	-
30	1289	1400	-	112	100	4	0	3	5	29	4	1	3,2,1,0	0
31	1402	1413	s_cbranch_scc0	12	11	0	0	1	0	7	0	0	-	-
32	1415	1526	-	112	100	4	0	3	5	29	4	1	3,2,1,0	0
33	1528	1539	s_cbranch_scc0	12	11	0	0	1	0	7	0	0	-	-
34	1541	1652	-	112	100	4	0	3	5	29	4	1	3,2,1,0	0
35	1654	1656	s_branch	3	2	0	0	1	0	1	0	0	-	-
36	1658	1660	s_cbranch_execz	3	1	0	0	2	0	1	0	0	-	-
37	1662	1679	s_cbranch_scc0	18	11	0	0	6	1	6	0	0	-	0
38	1681	1792	-	112	100	4	0	3	5	29	4	1	3,2,1,0	0
39	1794	1805	s_cbranch_scc0	12	11	0	0	1	0	7	0	0	-	-
40	1807	1918	-	112	100	4	0	3	5	29	4	1	3,2,1,0	0
41	1920	1922	-	3	2	0	0	1	0	1	0	0	-	-
42	1924	1926	s_cbranch_execz	3	1	0	0	2	0	1	0	0	-	-
43	1928	1945	s_cbranch_scc0	18	11	0	0	6	1	6	0	0	-	0
44	1947	2058	-	112	100	4	0	3	5	29	4	1	3,2,1,0	0
45	2060	2060	-	1	0	0	0	1	0	0	0	0	-	-
46	2062	2064	s_cbranch_scc0	3	0	0	0	3	0	0	0	0	-	-
47	2066	2082	-	17	9	0	0	8	0	8	0	0	-	-
48	2084	2086	s_cbranch_execz	3	0	0	0	3	0	0	0	0	-	-
49	2088	2089	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
50	2091	2101	-	11	1	0	0	7	3	1	0	1	-	0,0,0
51	2103	2104	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
52	2106	2115	-	10	1	0	0	7	2	1	0	1	-	0,0
53	2117	2123	-	7	0	1	0	5	1	0	0	1	-	0
54	2125	2125	s_endpgm	1	0	0	0	0	0	0	0	0	-	-
