block	first_line	last_line	terminator	instructions	valu	vmem	lds	salu	waitcnt	longest_valu_chain	max_vmem_in_flight	max_lgkm_in_flight	vmcnt_arguments	lgkmcnt_arguments
1	2	9	s_cbranch_scc0	8	0	0	0	7	1	0	0	1	-	0
2	11	13	s_cbranch_scc0	3	0	0	0	3	0	0	0	0	-	-
3	15	78	s_branch	64	15	0	0	49	0	5	0	0	-	-
4	80	80	-	1	0	0	0	1	0	0	0	0	-	-
5	82	105	s_branch	24	20	0	0	4	0	5	0	0	-	-
6	107	805	-	699	610	28	0	32	29	12	16	1	15,14,13,12,11,10,9,11,10,9,9,8,9,8,7,9,8,7,9,8,7,6,5,4,3,2,1,0	0
7	807	808	-	2	1	0	0	1	0	1	0	0	-	-
8	810	811	s_cbranch_scc1	2	0	0	0	2	0	0	0	0	-	-
9	813	941	-	129	64	0	0	65	0	8	0	0	-	-
10	943	944	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
11	946	958	s_branch	13	2	0	0	9	2	2	0	1	-	0,0
12	960	961	-	2	1	0	0	1	0	1	0	0	-	-
13	963	964	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
14	966	977	s_branch	12	1	0	0	9	2	1	0	1	-	0,0
15	979	979	-	1	0	0	0	1	0	0	0	0	-	-
16	981	990	s_cbranch_scc0	10	0	1	0	8	1	0	0	1	-	0
17	992	1000	s_branch	9	2	0	0	5	2	2	0	1	-	0,0
18	1002	1003	-	2	1	0	0	1	0	1	0	0	-	-
19	1005	1006	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
20	1008	1015	s_branch	8	1	0	0	5	2	1	0	1	-	0,0
21	1017	1017	-	1	0	0	0	1	0	0	0	0	-	-
22	1019	1022	s_cbranch_scc0	4	0	1	0	3	0	0	0	0	-	-
23	1024	1032	s_branch	9	2	0	0	5	2	2	0	1	-	0,0
24	1034	1035	-	2	1	0	0	1	0	1	0	0	-	-
25	1037	1038	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
26	1040	1047	s_branch	8	1	0	0	5	2	1	0	1	-	0,0
27	1049	1049	-	1	0	0	0	1	0	0	0	0	-	-
28	1051	1054	s_cbranch_scc0	4	0	1	0	3	0	0	0	0	-	-
29	1056	1064	s_branch	9	2	0	0	5	2	2	0	1	-	0,0
30	1066	1067	-	2	1	0	0	1	0	1	0	0	-	-
31	1069	1070	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
32	1072	1079	s_branch	8	1	0	0	5	2	1	0	1	-	0,0
