block	first_line	last_line	terminator	instructions	valu	vmem	lds	salu	waitcnt	longest_valu_chain	max_vmem_in_flight	max_lgkm_in_flight	vmcnt_arguments	lgkmcnt_arguments
1	2	8	s_cbranch_scc0	7	0	0	0	6	1	0	0	1	-	0
2	10	12	s_cbranch_scc0	3	0	0	0	3	0	0	0	0	-	-
3	14	77	s_branch	64	15	0	0	49	0	5	0	0	-	-
4	79	79	-	1	0	0	0	1	0	0	0	0	-	-
5	81	95	s_branch	15	11	0	0	4	0	5	0	0	-	-
6	97	222	-	126	99	9	0	8	10	17	9	1	8,7,6,5,4,3,2,1,0	0
7	224	225	-	2	1	0	0	1	0	1	0	0	-	-
8	227	228	s_cbranch_scc1	2	0	0	0	2	0	0	0	0	-	-
9	230	246	-	17	8	0	0	9	0	8	0	0	-	-
10	248	249	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
11	251	262	s_branch	12	2	0	0	8	2	2	0	1	-	0,0
12	264	264	-	1	1	0	0	0	0	1	0	0	-	-
13	266	267	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
14	269	278	-	10	1	0	0	7	2	1	0	1	-	0,0
15	280	287	s_branch	8	0	1	0	6	1	0	0	1	-	0
16	289	290	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
17	292	295	s_cbranch_scc0	4	0	0	0	4	0	0	0	0	-	-
18	297	360	s_branch	64	15	0	0	49	0	5	0	0	-	-
19	362	362	-	1	0	0	0	1	0	0	0	0	-	-
20	364	377	-	14	11	0	0	3	0	5	0	0	-	-
21	379	380	-	2	1	0	0	1	0	1	0	0	-	-
22	382	383	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
23	385	420	s_cbranch_scc0	36	20	4	0	7	5	5	4	1	3,2,1,0	0
24	422	514	-	93	78	5	0	4	6	17	5	1	4,3,2,1,0	0
25	516	517	s_branch	2	1	0	0	1	0	1	0	0	-	-
26	519	522	s_cbranch_scc0	4	0	0	0	4	0	0	0	0	-	-
27	524	540	-	17	9	0	0	8	0	8	0	0	-	-
28	542	544	s_cbranch_execz	3	0	0	0	3	0	0	0	0	-	-
29	546	547	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
30	549	558	-	10	1	0	0	7	2	1	0	1	-	0,0
31	560	561	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
32	563	572	-	10	1	0	0	7	2	1	0	1	-	0,0
33	574	580	-	7	0	1	0	5	1	0	0	1	-	0
34	582	582	s_endpgm	1	0	0	0	0	0	0	0	0	-	-
