workload_id	configuration	tokens	corpus_sequences	index_keys	index_values	index_peak_bytes	target_passes	projected_target_ms	projected_speedup	proposed_rounds	proposed_tokens	accepted_tokens	committed_per_target_pass	acceptance	lookup_mean_ns	lookup_p95_ns	lookup_max_ns	history_proposals	external_proposals	replay_exact
accumulator	none	128	0	0	0	0	128	41344.000	1.000000	0	0	0	1.000000	-	72	80	331	0	0	yes
accumulator	history	128	0	343	360	0	120	42900.000	0.963730	9	27	9	1.066667	0.333333	2323	3377	4889	9	0	yes
accumulator	history_external	128	5	1967	5469	791056	103	40629.000	1.017598	16	48	26	1.242718	0.541667	3460	5550	7334	7	9	yes
constraints	none	128	0	0	0	0	128	41344.000	1.000000	0	0	0	1.000000	-	69	80	191	0	0	yes
constraints	history	128	0	353	360	0	124	41432.000	0.997876	3	9	4	1.032258	0.444444	2119	2675	4228	3	0	yes
constraints	history_external	128	5	1967	5448	786944	106	40218.000	1.027997	13	39	22	1.207547	0.564103	4798	8375	11351	2	11	yes
list-transform	none	128	0	0	0	0	128	41344.000	1.000000	0	0	0	1.000000	-	70	81	210	0	0	yes
list-transform	history	128	0	353	360	0	126	42998.000	0.961533	5	15	2	1.015873	0.133333	2115	2686	6222	5	0	yes
list-transform	history_external	128	5	1963	5475	582552	114	41882.000	0.987154	11	33	14	1.122807	0.424242	3066	4148	6893	5	6	yes
stack	none	128	0	0	0	0	128	41344.000	1.000000	0	0	0	1.000000	-	70	81	191	0	0	yes
stack	history	128	0	350	360	0	124	42812.000	0.965711	6	18	4	1.032258	0.222222	2172	2855	6071	6	0	yes
stack	history_external	128	5	1966	5469	583168	109	41647.000	0.992725	14	42	19	1.174312	0.452381	3189	5069	6943	5	9	yes
state-machine	none	128	0	0	0	0	128	41344.000	1.000000	0	0	0	1.000000	-	69	80	180	0	0	yes
state-machine	history	128	0	359	360	0	128	41804.000	0.988996	1	3	0	1.000000	0.000000	2061	2495	3406	1	0	yes
state-machine	history_external	128	5	1951	5409	573504	115	41421.000	0.998141	10	28	13	1.113043	0.464286	3214	5060	7114	1	9	yes
variable-trace	none	128	0	0	0	0	128	41344.000	1.000000	0	0	0	1.000000	-	76	91	211	0	0	yes
variable-trace	history	128	0	353	360	0	125	42215.000	0.979368	4	12	3	1.024000	0.250000	2208	2925	7123	4	0	yes
variable-trace	history_external	128	5	1976	5460	584224	103	40169.000	1.029251	15	45	25	1.242718	0.555556	3364	5309	6322	1	14	yes
